id,activity,level,field,was,now,reason
D1-A01-PE-01,Watching,Present Environment,access outcome,access visual information or demonstrations or images or screen-based content,"access visual information, demonstrations, images or screen-based content","Clunky ""or ... or ..."" list"
D1-A01-SUB-02D,Watching,Substantial,wording,Use screen-based content,"Present key information on screen where {preferredName} can adjust size, contrast and zoom",Too vague to act on
D1-A02-PE-01,Listening,Present Environment,access outcome,access spoken instructions or class discussion or announcements or audio content,"access spoken instructions, class discussion, announcements or audio content","Clunky ""or ... or ..."" list"
D1-A03-PE-01,Reading,Present Environment,access outcome,access dense text or written instructions or subject-specific texts or word problems,"access dense text, written instructions, subject-specific texts or word problems","Clunky ""or ... or ..."" list"
D1-A04-PE-01,Writing,Present Environment,access outcome,access planning or drafting or recording written responses or assessment tasks,"access planning, drafting, recording written responses or assessment tasks","Clunky ""or ... or ..."" list"
D1-A04-SUP-01D,Writing,Supplementary,wording,Explicit instruction,Provide explicit instruction in the identified writing skill,Grammar: verb missing or doubled
D1-A04-SUB-02C,Writing,Substantial,wording,Explicit step-by-step support to plan,Provide explicit step-by-step support to plan written work,Grammar: verb missing or doubled
D1-A05-PE-01,Mathematics: Calculating,Present Environment,access outcome,access calculation tasks or multi-step Maths problems or mathematical representations,"access calculation tasks, multi-step Maths problems or mathematical representations","Clunky ""or ... or ..."" list"
D1-A05-SUP-03B,Mathematics: Calculating,Supplementary,wording,Explicit teaching of problem-solving steps,Explicitly teach problem-solving steps,Grammar: verb missing or doubled
D1-A05-EXT-01B,Mathematics: Calculating,Extensive,wording,Provide significantly modifying learning materials,Provide significantly modified learning materials,Grammar: verb missing or doubled
D1-A05-EXT-02A,Mathematics: Calculating,Extensive,wording,Adapt the routine,Adapt the calculation routine to the agreed steps and supports,Too vague to act on
D1-A06-PE-01,Focusing and Directing Attention,Present Environment,access outcome,access lengthy or unfamiliar or multi-step or independent learning tasks,"access lengthy, unfamiliar, multi-step or independent learning tasks","Clunky ""or ... or ..."" list"
D1-A06-SUP-01D,Focusing and Directing Attention,Supplementary,wording,Explicit expectations,State expectations explicitly before the task begins,Grammar: verb missing or doubled
D1-A07-PE-01,Solving Problems,Present Environment,access outcome,access multi-step or unfamiliar or abstract or problem-solving tasks,"access multi-step, unfamiliar, abstract or problem-solving tasks","Clunky ""or ... or ..."" list"
D1-A07-SUP-01C,Solving Problems,Supplementary,wording,Prompt questions,Use prompt questions to guide the next step without giving the answer,Too vague to act on
D1-A07-SUP-02C,Solving Problems,Supplementary,wording,Model of think-aloud strategies,Model think-aloud strategies,Grammar: verb missing or doubled
D1-A07-EXT-01,Solving Problems,Extensive,wording,"Provide sustained, highly individualised support for multi-step; unfamiliar; abstract; problem-solving tasks during learning tasks, social situations, safety situations or unexpected changes","Provide sustained, highly individualised support for multi-step, unfamiliar or abstract problem-solving tasks, including in social situations, safety situations and unexpected changes",List separators leaked into the sentence
D2-A01-PE-01,Carrying Out Daily Routines,Present Environment,access outcome,access arrival or class preparation or transitions or packing up or routine procedures,"access arrival, class preparation, transitions, packing up or routine procedures","Clunky ""or ... or ..."" list"
D2-A01-EXT-02B,Carrying Out Daily Routines,Extensive,wording,Adapt routines,Adapt daily routines to what {preferredName} can currently manage,Too vague to act on
D2-A02-PE-01,Undertaking Tasks Independently,Present Environment,access outcome,access task initiation or organisation or time management or multi-step independent work,"access task initiation, organisation, time management or multi-step independent work","Clunky ""or ... or ..."" list"
D2-A03-PE-01,Handling Stress and Other Psychological Demands,Present Environment,access outcome,access assessment or time limits or unexpected change or sensory or social demands,"access assessment, time limits, unexpected change or sensory or social demands","Clunky ""or ... or ..."" list"
D2-A04-PE-01,Managing One’s Own Behaviour,Present Environment,access outcome,access transitions or new situations or changes or emotionally demanding interactions,"access transitions, new situations, changes or emotionally demanding interactions","Clunky ""or ... or ..."" list"
D2-A04-EXT-01A,Managing One’s Own Behaviour,Extensive,wording,Provide a Behaviour Support Plan,Implement the documented Behaviour Support Plan,Too vague to act on
D3-A01-PE-01,Producing Non-Verbal Messages,Present Environment,access outcome,access gestures or visual choices or communication signals or non-verbal responses,"access gestures, visual choices, communication signals or non-verbal responses","Clunky ""or ... or ..."" list"
D3-A01-EXT-01C,Producing Non-Verbal Messages,Extensive,wording,Use behaviour to infer {hishertheir} intent,Interpret {hishertheir} behaviour as communication and respond to the likely intent,Grammar: verb missing or doubled
D3-A02-PE-01,Interpreting Spoken Messages,Present Environment,access outcome,access instructions or questions or discussion or spoken routines,"access instructions, questions, discussion or spoken routines","Clunky ""or ... or ..."" list"
D3-A02-SUB-02,Interpreting Spoken Messages,Substantial,wording,Use regularly check for understanding,Check for understanding regularly,Grammar: verb missing or doubled
D3-A02-EXT-01A,Interpreting Spoken Messages,Extensive,wording,Use significantly simplifying language,Significantly simplify spoken language,Grammar: verb missing or doubled
D3-A02-EXT-01B,Interpreting Spoken Messages,Extensive,wording,Use consistently use AAC,Consistently use AAC alongside speech,Grammar: verb missing or doubled
